IMO,ShipName,ShipType,DistanceNm,Fuel_tonnes,CO2_tonnes,DWT,Cargo
7625811,Passenger ship,Passenger ship,0.0,0.0,0.0,,
7633375,Other ship types,Other ship types,0.0,623.75,1644.265,,
7803190,Ro-pax ship,Ro-pax ship,0.0,7237.81958,1606.33,,
7826790,Ro-pax ship,Ro-pax ship,0.0,7460.56,15220.72,,
7826855,Ro-pax ship,Ro-pax ship,0.0,5565.78,5546.5364,,
7826867,Ro-pax ship,Ro-pax ship,0.0,2659.38,2678.6563,,
7901760,Ro-pax ship,Ro-pax ship,0.0,5058.32,1143.395,,
7907245,Ro-pax ship,Ro-pax ship,0.0,11318.16,35799.37,,
7907659,Ro-pax ship,Ro-pax ship,0.0,15391.77,48745.44,,
7907661,Ro-pax ship,Ro-pax ship,0.0,16321.41,51510.42,,
8317954,Ro-pax ship,Ro-pax ship,0.0,6318.51,19922.86,,
8418174,Other ship types,Other ship types,0.0,2029.02,6408.68,16.22,
8420842,Ro-pax ship,Ro-pax ship,0.0,7023.88,22132.28,,
8503503,Other ship types,Other ship types,0.0,1950.0,6155.57,13.96,
8604711,Ro-pax ship,Ro-pax ship,0.0,381.6,958.562,,
8700280,Passenger ship,Passenger ship,0.0,10230.88,25522.77232,,
8712520,Ro-pax ship,Ro-pax ship,0.0,14506.78,27127.755,,
8805597,Ro-ro ship,Ro-ro ship,0.0,1038.07,2960.565,,
8805602,Ro-ro ship,Ro-ro ship,0.0,1286.0,3532.792,,
8808604,Refrigerated cargo carrier,Refrigerated cargo carrier,0.0,1647.99,3695.095,,
8814744,Passenger ship,Passenger ship,0.0,9241.4,18140.843,,
8820860,Ro-ro ship,Ro-ro ship,0.0,2605.99,8354.79,,
8903935,Passenger ship,Passenger ship,0.0,1658.26,3931.02,,
8908844,General cargo ship,General cargo ship,0.0,618.702,1288.78081,12.95,
8911748,Ro-ro ship,Ro-ro ship,0.0,2118.97,5967.05,,
8912388,Ro-ro ship,Ro-ro ship,0.0,2742.0,3375.56834,,
8913411,Container ship,Container ship,0.0,8094.56,18178.75,,
8913423,Container ship,Container ship,0.0,9396.69,20620.265,,
8913447,Container ship,Container ship,0.0,9952.29,18139.4,,
8917390,Ro-pax ship,Ro-pax ship,0.0,2311.15,4013.915,,
8917883,Container/ro-ro cargo ship,Container/ro-ro cargo ship,0.0,3439.3,5686.55,,
8918734,General cargo ship,General cargo ship,0.0,939.077,1730.74,8.58,
8918954,Container ship,Container ship,0.0,7606.07,14644.36,,
8918966,Container ship,Container ship,0.0,9252.06,21487.48,,
8918978,Container ship,Container ship,0.0,7566.32,15522.175,,
8918980,Container ship,Container ship,0.0,8472.15,15890.68856,,
9002647,Ro-ro ship,Ro-ro ship,0.0,623.0,1068.88,,
9002659,Ro-ro ship,Ro-ro ship,0.0,504.76,1605.915,,
9007128,Ro-pax ship,Ro-pax ship,0.0,969.83,3109.18,,
9010814,Ro-pax ship,Ro-pax ship,0.0,8448.31,26733.25,,
9020340,Container ship,Container ship,0.0,268.07,678.77,,
9020352,Container ship,Container ship,0.0,267.34,453.685,,
9039250,Container ship,Container ship,0.0,4987.21,15385.53,,
9048914,Ro-pax ship,Ro-pax ship,0.0,4988.89,15994.35,,
9064126,Passenger ship,Passenger ship,0.0,6518.3,17265.58,,
9065405,Vehicle carrier,Vehicle carrier,0.0,2332.32,6109.545,,
9065417,Vehicle carrier,Vehicle carrier,0.0,2366.46,6460.72,,
9081289,General cargo ship,General cargo ship,0.0,1348.02,2448.05608,9.81,
9081318,General cargo ship,General cargo ship,0.0,1882.98,3892.29887,7.94,
9081320,General cargo ship,General cargo ship,0.0,760.21,1671.99304,9.25,
9087350,Ro-ro ship,Ro-ro ship,0.0,8113.11,23278.99,,
9087362,Ro-ro ship,Ro-ro ship,0.0,8031.421,22838.895,,
9087374,Ro-ro ship,Ro-ro ship,0.0,7471.852,21242.655,,
9100255,Container ship,Container ship,0.0,236.49,436.705,,
9107772,Ro-pax ship,Ro-pax ship,0.0,5721.93,18337.495,,
9107784,Ro-pax ship,Ro-pax ship,0.0,5931.8,19017.34,,
9107796,Ro-pax ship,Ro-pax ship,0.0,6098.31,19551.18,,
9108063,Container ship,Container ship,0.0,2734.61,7865.34,,
9108350,Ro-pax ship,Ro-pax ship,0.0,8696.16,27401.6,,
9108740,Chemical tanker,Chemical tanker,653.2,2798.1,8315.885,,
9112765,Ro-pax ship,Ro-pax ship,0.0,4720.41,7903.39,,
9112777,Ro-pax ship,Ro-pax ship,0.0,3872.26,7196.425,,
9113018,General cargo ship,General cargo ship,0.0,1984.14,5904.025,8.54,
9118496,Chemical tanker,Chemical tanker,897.66,2622.7,7829.215,,
9121998,Ro-ro ship,Ro-ro ship,0.0,9311.17,22548.38,,
9122007,Ro-ro ship,Ro-ro ship,0.0,5294.65,13135.795,,
9125267,Chemical tanker,Chemical tanker,0.0,1133.56578,2692.4443,,
9125944,Ro-pax ship,Ro-pax ship,0.0,10088.76,31666.62,,
9126924,Container ship,Container ship,0.0,405.94,667.255,,
9129263,Ro-ro ship,Ro-ro ship,0.0,2692.2,4861.57,,
9129469,Container ship,Container ship,0.0,4070.24,6742.14,,
9131797,Ro-pax ship,Ro-pax ship,0.0,13023.15,41091.08,,
9131943,Vehicle carrier,Vehicle carrier,0.0,2281.77,4207.33,45.87,
9131955,Vehicle carrier,Vehicle carrier,0.0,178.55,203.17632,,
9133915,Ro-pax ship,Ro-pax ship,0.0,12752.05,40206.05,,
9138783,Ro-ro ship,Ro-ro ship,0.0,4189.77,7646.86,,
9139294,General cargo ship,General cargo ship,0.0,4015.64,8408.91281,12.5,
9139309,General cargo ship,General cargo ship,0.0,2553.36,4874.33891,13.34,
9139311,General cargo ship,General cargo ship,0.0,2732.63,5430.36771,11.7,
9141807,Passenger ship,Passenger ship,0.0,2802.36,7928.645,,
9142605,Ro-pax ship,Ro-pax ship,0.0,15780.23,26102.24,,
9145176,Ro-pax ship,Ro-pax ship,0.0,13399.31,42958.25,,
9150080,Container ship,Container ship,0.0,2952.2,6510.97,,
9150327,Chemical tanker,Chemical tanker,0.0,2595.77,5518.32,,
9153020,Ro-ro ship,Ro-ro ship,0.0,8306.63,16073.465,,
9158159,Bulk carrier,Bulk carrier,0.0,337.57,559.4723,,
9160774,Ro-ro ship,Ro-ro ship,0.0,10112.63,22582.18,,
9166637,Ro-ro ship,Ro-ro ship,0.0,6752.19,19352.77,,
9171395,General cargo ship,General cargo ship,0.0,1179.59714,2799.55476,,
9172210,Chemical tanker,Chemical tanker,0.0,1641.06,0.0,,
9172222,Chemical tanker,Chemical tanker,0.0,4330.17,13882.53,,
9173692,General cargo ship,General cargo ship,0.0,2164.42,6719.285,8.75,
9180358,Bulk carrier,Bulk carrier,0.0,1804.37,4070.275,,
9180360,Bulk carrier,Bulk carrier,0.0,1626.36,272.4785,,
9180372,Bulk carrier,Bulk carrier,0.0,1338.38,0.0,,
9180384,Bulk carrier,Bulk carrier,0.0,2611.84,4995.075,,
9180396,Bulk carrier,Bulk carrier,0.0,1589.87,3153.82,,
9181077,Ro-ro ship,Ro-ro ship,0.0,7619.27,23768.11,,
9181156,Refrigerated cargo carrier,Refrigerated cargo carrier,0.0,348.3,672.82165,,
9182978,General cargo ship,General cargo ship,0.0,3483.13,7378.255,3.03,
9183788,Container/ro-ro cargo ship,Container/ro-ro cargo ship,0.0,1563.95,4978.93,,
9183790,Ro-ro ship,Ro-ro ship,0.0,3943.86,10465.12,,
9183843,Chemical tanker,Chemical tanker,0.0,3158.93,9837.775,,
9183855,Passenger ship,Passenger ship,0.0,4243.77,12090.5112,,
9183984,Ro-ro ship,Ro-ro ship,0.0,4228.77,8221.235,,
9184029,Ro-ro ship,Ro-ro ship,0.0,4900.18,9047.15,,
9185396,Ro-pax ship,Ro-pax ship,0.0,18135.664,29093.94054,,
9186182,Ro-ro ship,Ro-ro ship,0.0,8121.4,13424.96,,
9186194,Ro-ro ship,Ro-ro ship,0.0,8305.63,13672.7,,
