IMO,ShipName,CO2_per_nm
9108740,Chemical tanker,12.73099357011635
9909649,Chemical tanker,13.381627415458937
9301598,General cargo ship,13.87952153110048
9349435,General cargo ship,14.427999999999999
9750660,LNG carrier,14.781270632208459
9722390,Chemical tanker,17.799025974025973
9734848,Gas carrier,20.500484282073067
9246152,Chemical tanker,23.25973469387755
9854466,Chemical tanker,33.8137339055794
9390991,Chemical tanker,33.896750000000004
9485356,Chemical tanker,40.176258140911784
9234288,General cargo ship,43.50220588235294
9186352,Chemical tanker,52.17996857816183
9310355,Chemical tanker,77.61728816128544
9829784,Chemical tanker,81.75544943820225
9892901,General cargo ship,113.23
9443566,Ro-ro ship,215.9975
9425356,Chemical tanker,393.87591623036644
9604184,General cargo ship,1496.360125
9505584,General cargo ship,2326.105
