IMO,ShipName,CO2_per_nm
9737187,LNG carrier,0.5730526607005153
9878319,Ro-pax ship,1.368299454059705
9508794,General cargo ship,2.2614012135001893
9508809,General cargo ship,2.3066106250000002
9301603,General cargo ship,2.8895454545454546
9277319,General cargo ship,3.1441520136131595
9350771,General cargo ship,4.5247798475867915
9436226,General cargo ship,4.7277885548011644
9350783,General cargo ship,4.873521850899743
9750701,LNG carrier,5.220194827989312
9854478,Chemical tanker,6.067974895397489
9300829,Chemical tanker,6.367472431962626
9277345,General cargo ship,6.899449728260869
9523548,Chemical tanker,7.927781155015197
9349461,General cargo ship,8.545897435897437
9816529,Chemical tanker,8.670343787527578
9118496,Chemical tanker,8.721804469398213
9436238,General cargo ship,9.094288321167884
9829796,Chemical tanker,9.851514492753623
9505596,General cargo ship,10.39893581081081
9436240,General cargo ship,10.630375939849623
9750658,LNG carrier,10.742590071084033
9747974,Chemical tanker,12.384464356305179
9108740,Chemical tanker,12.73099357011635
9909649,Chemical tanker,13.381627415458937
9301598,General cargo ship,13.87952153110048
9349435,General cargo ship,14.427999999999999
9750660,LNG carrier,14.781270632208459
9722390,Chemical tanker,17.799025974025973
9734848,Gas carrier,20.500484282073067
9246152,Chemical tanker,23.25973469387755
9854466,Chemical tanker,33.8137339055794
9390991,Chemical tanker,33.896750000000004
9485356,Chemical tanker,40.176258140911784
9234288,General cargo ship,43.50220588235294
9186352,Chemical tanker,52.17996857816183
9310355,Chemical tanker,77.61728816128544
9829784,Chemical tanker,81.75544943820225
9892901,General cargo ship,113.23
9443566,Ro-ro ship,215.9975
9425356,Chemical tanker,393.87591623036644
9604184,General cargo ship,1496.360125
9505584,General cargo ship,2326.105
